"interaction","name","Score","selected","shared interaction","shared name"
"interacts-with","CUL9 (interacts-with) ZNF845","0.999999479782945","false","interacts-with","CUL9 (interacts-with) ZNF845"
"interacts-with","FOXR2 (interacts-with) MAX","0.891574753643238","false","interacts-with","FOXR2 (interacts-with) MAX"
"interacts-with","ELFN2 (interacts-with) UBR4","0.827814939232264","false","interacts-with","ELFN2 (interacts-with) UBR4"
"interacts-with","SALL3 (interacts-with) VRTN","0.999999680982057","false","interacts-with","SALL3 (interacts-with) VRTN"
"interacts-with","ELFN2 (interacts-with) ELFN1","0.999999996760953","false","interacts-with","ELFN2 (interacts-with) ELFN1"
"interacts-with","CHRM3 (interacts-with) TUBB8","0.832396518543095","false","interacts-with","CHRM3 (interacts-with) TUBB8"
"interacts-with","ZNF420 (interacts-with) PRKRA","0.999916008447623","false","interacts-with","ZNF420 (interacts-with) PRKRA"
"interacts-with","FOXR2 (interacts-with) EP400","0.999998407935105","false","interacts-with","FOXR2 (interacts-with) EP400"
"interacts-with","CFH (interacts-with) STX17","0.999246172571268","false","interacts-with","CFH (interacts-with) STX17"
"interacts-with","SIRPB1 (interacts-with) SIRPA","0.999999999993856","false","interacts-with","SIRPB1 (interacts-with) SIRPA"
"interacts-with","RGPD1 (interacts-with) RGPD8","0.999999878203828","false","interacts-with","RGPD1 (interacts-with) RGPD8"
"interacts-with","FOXR2 (interacts-with) EPC1","0.999999461225733","false","interacts-with","FOXR2 (interacts-with) EPC1"
"interacts-with","FANCD2 (interacts-with) HLA-B","0.248349429006095","false","interacts-with","FANCD2 (interacts-with) HLA-B"
"interacts-with","FOXR2 (interacts-with) TRRAP","0.999996351871263","false","interacts-with","FOXR2 (interacts-with) TRRAP"
"interacts-with","AP3S1 (interacts-with) MUC20","0.983818910935596","false","interacts-with","AP3S1 (interacts-with) MUC20"
"interacts-with","GRK6 (interacts-with) NCR3LG1","0.995680067359638","false","interacts-with","GRK6 (interacts-with) NCR3LG1"
"interacts-with","GPC1 (interacts-with) HADHB","0.99998658976586","false","interacts-with","GPC1 (interacts-with) HADHB"
"interacts-with","PCDHA7 (interacts-with) PCDHA2","0.999999971944257","false","interacts-with","PCDHA7 (interacts-with) PCDHA2"
"interacts-with","PLEC (interacts-with) STX17","0.925446954922855","false","interacts-with","PLEC (interacts-with) STX17"
"interacts-with","ZNF865 (interacts-with) CUL9","0.842367872080363","false","interacts-with","ZNF865 (interacts-with) CUL9"
"interacts-with","PCDHA7 (interacts-with) PCDHA9","0.999999984999561","false","interacts-with","PCDHA7 (interacts-with) PCDHA9"
"interacts-with","CHRM3 (interacts-with) TUBA3C","0.999998761616923","false","interacts-with","CHRM3 (interacts-with) TUBA3C"
"interacts-with","OR10H1 (interacts-with) TMUB2","0.862079427673446","false","interacts-with","OR10H1 (interacts-with) TMUB2"
"interacts-with","CHRM3 (interacts-with) IPO13","0.936802614806587","false","interacts-with","CHRM3 (interacts-with) IPO13"
"interacts-with","ZFP62 (interacts-with) PRKRA","0.998904069821029","false","interacts-with","ZFP62 (interacts-with) PRKRA"
"interacts-with","ABCA3 (interacts-with) KLRC2","0.981005734646989","false","interacts-with","ABCA3 (interacts-with) KLRC2"
"interacts-with","SKA3 (interacts-with) TUBA3C","0.919169620429623","false","interacts-with","SKA3 (interacts-with) TUBA3C"
"interacts-with","OR10H1 (interacts-with) PDE4DIP","0.998836485868733","false","interacts-with","OR10H1 (interacts-with) PDE4DIP"
"interacts-with","SRGAP2 (interacts-with) YWHAZ","0.999998866758743","false","interacts-with","SRGAP2 (interacts-with) YWHAZ"
"interacts-with","APC (interacts-with) KRT38","0.982539976734529","false","interacts-with","APC (interacts-with) KRT38"
"interacts-with","FLG (interacts-with) STX17","0.989412599743249","false","interacts-with","FLG (interacts-with) STX17"
"interacts-with","MLLT1 (interacts-with) CCNT1","0.99995843246899","false","interacts-with","MLLT1 (interacts-with) CCNT1"
"interacts-with","TAS2R19 (interacts-with) SERINC1","0.909891083408005","false","interacts-with","TAS2R19 (interacts-with) SERINC1"
"interacts-with","BRAF (interacts-with) YWHAZ","0.99999999885485","false","interacts-with","BRAF (interacts-with) YWHAZ"
"interacts-with","ATP2B2 (interacts-with) ATP2B3","0.999999935037791","false","interacts-with","ATP2B2 (interacts-with) ATP2B3"
"interacts-with","ASH1L (interacts-with) THAP7","0.818402982178761","false","interacts-with","ASH1L (interacts-with) THAP7"
"interacts-with","CCT8L2 (interacts-with) NAV1","0.99878841050749","false","interacts-with","CCT8L2 (interacts-with) NAV1"
"interacts-with","RPL10 (interacts-with) HERC1","0.794139840600756","false","interacts-with","RPL10 (interacts-with) HERC1"
