"alias","Matching.Attribute","name","Organism Taxon Id","querynode","represents","selected","shared name","Type"
"ZET|ZNF755","ZFP62","ZFP62","9606","true","ncbigene:643836","false","ZFP62","SourceNode;gene;protein"
"ATBF1|ATBT|ZNF927","ZFHX3","ZFHX3","9606","true","ensembl:ENSG00000140836","false","ZFHX3","SourceNode;gene;protein"
"C19orf7","ZC3H4","ZC3H4","9606","true","ncbigene:23211","false","ZC3H4","SourceNode;gene;protein"
"ncbigene:7534|14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD","YWHAZ","YWHAZ","9606","true","uniprot:P63104","false","YWHAZ","SourceNode;gene;protein"
"CMYA1|Xin","XIRP1","XIRP1","9606","true","ncbigene:165904","false","XIRP1","SourceNode;gene;protein"
"CCXCR1|GPR5","XCR1","XCR1","9606","true","entrez gene:2829","false","XCR1","SourceNode;gene;protein"
"NY-CO-43|P/OKcl.13|PRKWNK2|SDCCAG43","WNK2","WNK2","9606","true","ncbigene:65268","false","WNK2","SourceNode;gene;protein"
"CR16","WIPF3","WIPF3","9606","true","ncbigene:644150","false","WIPF3","SourceNode;gene;protein"
,"WI2-3308P17.2","WI2-3308P17.2",,,,"false","WI2-3308P17.2","SourceNode"
"C14orf150","WDR89","WDR89","9606","true","ncbigene:112840","false","WDR89","SourceNode;gene;protein"
"NYD-SP11","WDR87","WDR87","9606","true","ncbigene:83889","false","WDR87","SourceNode;gene;protein"
"DIP2|UTP12","WDR3","WDR3","9606","true","ncbigene:10885","false","WDR3","SourceNode;gene;protein"
"ncbigene:55717|BRWD2|DR11|HH14|WDR15","WDR11","WDR11","9606","true","ncbigene:55717","false","WDR11","SourceNode;gene;protein"
"ncbigene:57705|C10orf64","WDFY4","WDFY4","9606","true","WDFY4","false","WDFY4","SourceNode;gene;protein"
,"WBSCR17","WBSCR17",,,,"false","WBSCR17","SourceNode"
"CXYorf1P|FAM39CP","WASH4P","WASH4P","9606","true","ncbigene:374677","false","WASH4P","SourceNode;protein"
"Brush-1|SCAR3|WAVE3","WASF3","WASF3","9606","true","ncbigene:10810","false","WASF3","SourceNode;gene;protein"
"F8VWF|VWD","VWF","VWF","9606","true","ncbigene:7450","false","VWF","SourceNode;gene;protein"
"C14orf115|vertnin","VRTN","VRTN","9606","true","ncbigene:55237","false","VRTN","SourceNode;gene;protein"
,"VPS13D","VPS13D","9606","true","entrez gene:55187","false","VPS13D","SourceNode;gene;protein"
"CHS1|COH1","VPS13B","VPS13B","9606","true","ncbigene:157680","false","VPS13B","SourceNode;gene;protein"
"CHAC|CHOREIN|ncbigene:23230","VPS13A","VPS13A","9606","true","VPS13A","false","VPS13A","SourceNode;gene;protein"
"CMD1W|CMH15|HEL114|MV|MVCL|ncbigene:7414","VCL","VCL","9606","true","ncbigene:7414","false","VCL","SourceNode;gene;protein"
"ncbigene:7409|VAV","VAV1","VAV1","9606","true","ensembl:ENSG00000141968","false","VAV1","SourceNode;gene;protein"
"KDM6AL|UTY1","UTY","UTY","9606","true","entrez gene:7404","false","UTY","SourceNode;gene;protein"
"DFFRY|SPGFY2","USP9Y","USP9Y","9606","true","ncbigene:8287","false","USP9Y","SourceNode;gene;protein"
"ncbigene:8239|DFFRX|FAF|FAM|MRX99","USP9X","USP9X","9606","true","ncbigene:8239","false","USP9X","SourceNode;gene;protein"
"HRP1|TRE17|TRE2|TRESMCR|Tre-2|USP6-short","USP6","USP6","9606","true","ncbigene:9098","false","USP6","SourceNode;gene;protein"
"ncbigene:9736","USP34","USP34","9606","true","ensembl:ENSG00000115464","false","USP34","SourceNode;gene;protein"
"HOM-TES-84/86","USP29","USP29","9606","true","ncbigene:57663","false","USP29","SourceNode;gene;protein"
